"id","b.01","b.11","b.02","b.12"
1,0.399851619958936,0.666471431819426,0,-0.014087424312647
2,0.386319340544937,0.660437465856284,0,-0.168988081748798
3,0.423183169563912,0.684407254728487,0,0.0779931177270378
4,0.341745348291755,0.630266201884892,0.0549653246835326,0
5,0.330970037729674,0.622228803579931,-0.110875645124159,0
6,0.336860636932714,0.626261792028883,-0.00944926523971829,0
7,0.341745939009804,0.630296619946866,0.0519070473234809,0
8,0.405132402710048,0.671155427810141,0,-0.0436450367537458
9,0.407039549321139,0.671553162445868,0,0.018492468775611
10,0.369019758928897,0.647725803417766,0,-0.225791765476726
11,0.331011503516844,0.622348965838879,-0.119043789318199,0
12,0.397770848837875,0.667261674832784,0,-0.0833425088232403
13,0.438983738599994,0.694099012375372,0,0.145813579781949
14,0.427898132499662,0.687785010996807,0,0.090096866077945
15,0.33690245674965,0.626486420596313,-0.028134505129777,0
16,0.336967310859634,0.626834774245021,-0.0572566598090515,0
17,0.3369141308821,0.626549126362156,-0.033363371969806,0
18,0.341748651104449,0.630436274834836,0.0378496640904824,0
19,0.336950359316094,0.626743721695772,-0.049627081992395,0
20,0.429179004801446,0.688047049867145,0,0.143940287374242
21,0.419337059453714,0.689604837875575,0,0.263554315847986
22,0.394581325518894,0.665963037990825,0,-0.143409979511764
23,0.34174900464106,0.63045447962568,0.0360151955096865,0
24,0.407426167576473,0.671591731365922,0,0.042795655930864
25,0.329838152722567,0.621485267371263,-0.126775273776697,0
26,0.384575747525132,0.659022022924535,0,-0.174557480149355
27,0.397638629258701,0.667265116223572,0,-0.0929220019853002
28,0.41147324806097,0.687805992362329,0,0.285979569330644
29,0.339137223190446,0.628282996068879,0.0246262621588545,0
30,0.422858633161011,0.684347438104943,0,0.0631774606672854
31,0.341740154116465,0.629998736304525,0.0818047794851926,0
32,0.339244702831449,0.629627745836631,-0.102206885366117,0
33,0.336786728677297,0.62586480546241,0.0234063419882364,0
34,0.428426260034527,0.687893054509371,0,0.11230794017804
35,0.336780183860324,0.625829651007692,0.0263060493310985,0
36,0.440305809571267,0.69440143588429,0,0.192828624538754
37,0.319642559865851,0.606015390705407,-0.207591215200579,0
38,0.405424938217197,0.671179692675778,0,-0.0249997672713948
39,0.351803265874346,0.637777453736108,0.0936609683312578,0
40,0.338801375741756,0.62896447780862,-0.0722736503883031,0
41,0.330234872188352,0.621797155035066,-0.140691758582363,0
42,0.328495577947005,0.617255501871682,-0.194007684240106,0
43,0.372809885939529,0.652937341045674,0.383473837341187,0
44,0.369050612903008,0.647698937456125,0,-0.220688473953649
45,0.407128060009427,0.671561992245323,0,0.0240603079105821
46,0.333700352576892,0.624994176821241,-0.099260766532603,0
47,0.439700230831443,0.694262909850966,0,0.171294249069963
48,0.429182769678647,0.688047820079888,0,0.144098443296911
49,0.440315271379983,0.694403600271419,0,0.193165102909616
50,0.330510382740989,0.62210063356468,-0.153203315481547,0
51,0.394564333663179,0.66596380332566,0,-0.144668957480512
52,0.330156841914333,0.620447168891719,-0.179520770945969,0
53,0.42278618547435,0.684334084977341,0,0.0598685693431962
54,0.407052905668835,0.671554494871069,0,0.0193328174385386
55,0.405350664425586,0.671173531907155,0,-0.0297309883123475
56,0.385464650924861,0.663423451226694,0.568828919959139,0
57,0.329978136931261,0.620299758942959,-0.176901178946683,0
58,0.35176485800065,0.637835642103129,0.0833763218510625,0
59,0.407414086522518,0.671590526163638,0,0.0420368929631828
60,0.336929107462072,0.626629570705308,-0.0400798327504989,0
61,0.438862043429846,0.694071174625981,0,0.141484920271256
62,0.336948394793618,0.626733169572358,-0.0487437082597104,0
63,0.428318725774818,0.687871055317182,0,0.107786852755723
64,0.39610466356292,0.66757232421927,0,-0.151515694608613
65,0.412683387938294,0.676049277151695,0,0.0436029300674314
66,0.39981037901522,0.666470843189142,0,-0.017083670030315
67,0.428773703607586,0.687964133977062,0,0.126911454867485
68,0.350834025786131,0.636316159910747,0.146914929723794,0
69,0.338793890970285,0.628910030605349,-0.0673950193106164,0
70,0.428943121190585,0.68799879316362,0,0.134030315225548
71,0.351814368132153,0.637760633688815,0.0966336634312044,0
72,0.401321357053097,0.66803126364305,0,-0.0614704539133139
73,0.323339003055391,0.612472987608518,-0.177520365606413,0
74,0.425862630370278,0.68657775283084,0,0.0797612232659601
75,0.330495787099194,0.622057638432548,-0.154084616935784,0
76,0.428990434054014,0.688008472355892,0,0.136018183041237
77,0.365923111971213,0.64783077173706,0.267392239108719,0
78,0.341749261414508,0.630467701755335,0.0346825257612325,0
79,0.351761964320845,0.63784002606106,0.0826014174514457,0
80,0.439234024185129,0.694156265160232,0,0.154715260283913
81,0.33012974782688,0.620758515085023,-0.172533407856466,0
82,0.319691313194368,0.606121367843006,-0.206933333113622,0
83,0.341737370308074,0.629855388634236,0.0961528925365122,0
84,0.336968718075387,0.626842332883051,-0.0578905974540113,0
85,0.353979358427126,0.638726948797673,0.19695274199254,0
86,0.319437504458011,0.60556965323818,-0.210355670718971,0
87,0.338796265956897,0.628927307202147,-0.0689425144987558,0
88,0.330225196795769,0.621047332063197,-0.169767891495488,0
